model,frequency_rank,lexical_first_token,count,share
Llama-3.1-8B,117,Students,1,0.0012239902080783353
Llama-3.1-8B,118,SOS,1,0.0012239902080783353
Llama-3.1-8B,119,Miami,1,0.0012239902080783353
Llama-3.1-8B,120,San,1,0.0012239902080783353
Llama-3.1-8B,121,Quebec,1,0.0012239902080783353
Llama-3.1-8B,122,London,1,0.0012239902080783353
Llama-3.1-8B,123,Martin,1,0.0012239902080783353
Llama-3.1-8B,124,Hillary,1,0.0012239902080783353
Llama-3.1-8B,125,Raphael,1,0.0012239902080783353
Llama-3.1-8B,126,Wa,1,0.0012239902080783353
Llama-3.1-8B,127,Scott,1,0.0012239902080783353
Llama-3.1-8B,128,Huntington,1,0.0012239902080783353
Llama-3.1-8B,129,Gan,1,0.0012239902080783353
Llama-3.1-8B,130,Gas,1,0.0012239902080783353
Llama-3.1-8B,131,Linden,1,0.0012239902080783353
Llama-3.1-8B,132,Mad,1,0.0012239902080783353
Llama-3.1-8B,133,Go,1,0.0012239902080783353
Llama-3.1-8B,134,S,1,0.0012239902080783353
Llama-3.1-8B,135,Ts,1,0.0012239902080783353
Llama-3.1-8B,136,Jur,1,0.0012239902080783353
Llama-3.1-8B,137,Brunswick,1,0.0012239902080783353
Llama-3.1-8B,138,Ban,1,0.0012239902080783353
Llama-3.1-8B,139,Luis,1,0.0012239902080783353
Llama-3.1-8B,140,Ruth,1,0.0012239902080783353
Llama-3.1-8B,141,Boston,1,0.0012239902080783353
Llama-3.1-8B,142,Denmark,1,0.0012239902080783353
Llama-3.1-8B,143,Israel,1,0.0012239902080783353
Llama-3.1-8B,144,New,1,0.0012239902080783353
Llama-3.1-8B,145,Paris,1,0.0012239902080783353
Llama-3.1-8B,146,Man,1,0.0012239902080783353
Llama-3.1-8B,147,India,1,0.0012239902080783353
Llama-3.1-8B,148,Estonia,1,0.0012239902080783353
Llama-3.1-8B,149,Christians,1,0.0012239902080783353
Llama-3.1-8B,150,Brian,1,0.0012239902080783353
Llama-3.1-8B,151,Scientists,1,0.0012239902080783353
Llama-3.1-8B,152,Bitcoin,1,0.0012239902080783353
Llama-3.1-8B,153,Property,1,0.0012239902080783353
Llama-3.1-8B,154,We,1,0.0012239902080783353
Llama-3.1-8B,155,Electronics,1,0.0012239902080783353
Llama-3.1-8B,156,Africa,1,0.0012239902080783353
Llama-3.1-8B,157,Hampshire,1,0.0012239902080783353
Llama-3.1-8B,158,America,1,0.0012239902080783353
Llama-3.1-8B,159,Switzerland,1,0.0012239902080783353
Llama-3.1-8B,160,Has,1,0.0012239902080783353
Llama-3.1-8B,161,Lear,1,0.0012239902080783353
Llama-3.1-8B,162,Rome,1,0.0012239902080783353
Llama-3.1-8B,163,Philadelphia,1,0.0012239902080783353
Llama-3.1-8B,164,Mexican,1,0.0012239902080783353
Llama-3.1-8B,165,Domin,1,0.0012239902080783353
Llama-3.1-8B,166,Perkins,1,0.0012239902080783353
Llama-3.1-8B,167,Cres,1,0.0012239902080783353
Llama-3.1-8B,168,Love,1,0.0012239902080783353
Llama-3.1-8B,169,Arab,1,0.0012239902080783353
Llama-3.1-8B,170,Union,1,0.0012239902080783353
Llama-3.1-8B,171,Ul,1,0.0012239902080783353
Llama-3.1-8B,172,Linear,1,0.0012239902080783353
Llama-3.1-8B,173,Sym,1,0.0012239902080783353
Llama-3.1-8B,174,Auckland,1,0.0012239902080783353
Llama-3.1-8B,175,Belfast,1,0.0012239902080783353
Llama-3.1-8B,176,Queen,1,0.0012239902080783353
Llama-3.1-8B,177,Rock,1,0.0012239902080783353
Llama-3.1-8B,178,Vision,1,0.0012239902080783353
Llama-3.1-8B,179,Under,1,0.0012239902080783353
Llama-3.1-8B,180,Your,1,0.0012239902080783353
Llama-3.1-8B,181,Powder,1,0.0012239902080783353
Llama-3.1-8B,182,Pang,1,0.0012239902080783353
Llama-3.1-8B,183,Por,1,0.0012239902080783353
Llama-3.1-8B,184,Type,1,0.0012239902080783353
Llama-3.1-8B,185,O,1,0.0012239902080783353
Llama-3.1-8B,186,Sarah,1,0.0012239902080783353
Llama-3.1-8B,187,As,1,0.0012239902080783353
Llama-3.1-8B,188,Im,1,0.0012239902080783353
Llama-3.1-8B,189,World,1,0.0012239902080783353
Llama-3.1-8B,190,P,1,0.0012239902080783353
Llama-3.1-8B,191,Robert,1,0.0012239902080783353
Llama-3.1-8B,192,Many,1,0.0012239902080783353
Llama-3.1-8B,193,Greek,1,0.0012239902080783353
Llama-3.1-8B,194,Le,1,0.0012239902080783353
Llama-3.1-8B,195,Wild,1,0.0012239902080783353
Llama-3.1-8B,196,Iron,1,0.0012239902080783353
Llama-3.1-8B,197,Himal,1,0.0012239902080783353
Llama-3.1-8B,198,Ant,1,0.0012239902080783353
Llama-3.1-8B,199,Claud,1,0.0012239902080783353
Llama-3.1-8B,200,Nin,1,0.0012239902080783353
Llama-3.1-8B,201,Knights,1,0.0012239902080783353
Llama-3.1-8B,202,Napoleon,1,0.0012239902080783353
Llama-3.1-8B,203,NASA,1,0.0012239902080783353
Llama-3.1-8B,204,AD,1,0.0012239902080783353
Llama-3.1-8B,205,Sirius,1,0.0012239902080783353
Llama-3.1-8B,206,Light,1,0.0012239902080783353
Llama-3.1-8B,207,Critical,1,0.0012239902080783353
Llama-3.1-8B,208,Brain,1,0.0012239902080783353
Llama-3.1-8B,209,Archae,1,0.0012239902080783353
Llama-3.1-8B,210,Air,1,0.0012239902080783353
Llama-3.1-8B,211,Chart,1,0.0012239902080783353
Llama-3.1-8B,212,Drinking,1,0.0012239902080783353
Llama-3.1-8B,213,LSD,1,0.0012239902080783353
Llama-3.1-8B,214,Cannabis,1,0.0012239902080783353
Llama-3.1-8B,215,Cin,1,0.0012239902080783353
Llama-3.1-8B,216,Sn,1,0.0012239902080783353
Llama-3.1-8B,217,Dream,1,0.0012239902080783353
Llama-3.1-8B,218,Bill,1,0.0012239902080783353
Llama-3.1-8B,219,White,1,0.0012239902080783353
Llama-3.1-8B,220,Harvard,1,0.0012239902080783353
Llama-3.1-8B,221,Blond,1,0.0012239902080783353
Llama-3.1-8B,222,Black,1,0.0012239902080783353
Llama-3.1-8B,223,Doctors,1,0.0012239902080783353
Llama-3.1-8B,224,Rain,1,0.0012239902080783353
Llama-3.1-8B,225,J,1,0.0012239902080783353
Llama-3.1-8B,226,Chinese,1,0.0012239902080783353
Llama-3.1-8B,227,Gerald,1,0.0012239902080783353
Llama-3.1-8B,228,King,1,0.0012239902080783353
Mistral-7B,1,No,99,0.1211750305997552
Mistral-7B,2,The,92,0.11260709914320685
Mistral-7B,3,I,69,0.08445532435740515
Mistral-7B,4,There,60,0.07343941248470012
Mistral-7B,5,Nothing,54,0.06609547123623011
Mistral-7B,6,Yes,42,0.051407588739290085
Mistral-7B,7,You,31,0.037943696450428395
Mistral-7B,8,It,28,0.03427172582619339
Mistral-7B,9,If,24,0.02937576499388005
Mistral-7B,10,People,23,0.028151774785801713
Mistral-7B,11,Very,12,0.014687882496940025
Mistral-7B,12,A,8,0.009791921664626682
Mistral-7B,13,In,7,0.008567931456548347
Mistral-7B,14,Food,6,0.0073439412484700125
Mistral-7B,15,B,5,0.006119951040391677
Mistral-7B,16,Hum,5,0.006119951040391677
Mistral-7B,17,All,5,0.006119951040391677
Mistral-7B,18,C,4,0.004895960832313341
Mistral-7B,19,Americans,4,0.004895960832313341
Mistral-7B,20,Most,4,0.004895960832313341
Mistral-7B,21,T,3,0.0036719706242350062
Mistral-7B,22,Bar,3,0.0036719706242350062
Mistral-7B,23,H,3,0.0036719706242350062
Mistral-7B,24,V,3,0.0036719706242350062
Mistral-7B,25,Gold,3,0.0036719706242350062
Mistral-7B,26,Richard,3,0.0036719706242350062
Mistral-7B,27,Sch,3,0.0036719706242350062
Mistral-7B,28,"""",3,0.0036719706242350062
Mistral-7B,29,Magic,2,0.0024479804161566705
Mistral-7B,30,R,2,0.0024479804161566705
Mistral-7B,31,W,2,0.0024479804161566705
Mistral-7B,32,G,2,0.0024479804161566705
Mistral-7B,33,Red,2,0.0024479804161566705
Mistral-7B,34,Mar,2,0.0024479804161566705
Mistral-7B,35,N,2,0.0024479804161566705
Mistral-7B,36,L,2,0.0024479804161566705
Mistral-7B,37,Mex,2,0.0024479804161566705
Mistral-7B,38,Turkey,2,0.0024479804161566705
Mistral-7B,39,France,2,0.0024479804161566705
Mistral-7B,40,Ireland,2,0.0024479804161566705
Mistral-7B,41,Canada,2,0.0024479804161566705
Mistral-7B,42,Less,2,0.0024479804161566705
Mistral-7B,43,More,2,0.0024479804161566705
Mistral-7B,44,Rec,2,0.0024479804161566705
Mistral-7B,45,S,2,0.0024479804161566705
Mistral-7B,46,Two,2,0.0024479804161566705
Mistral-7B,47,College,2,0.0024479804161566705
Mistral-7B,48,Japan,2,0.0024479804161566705
Mistral-7B,49,China,2,0.0024479804161566705
Mistral-7B,50,Pro,2,0.0024479804161566705
Mistral-7B,51,Paul,2,0.0024479804161566705
Mistral-7B,52,Card,2,0.0024479804161566705
Mistral-7B,53,Art,2,0.0024479804161566705
Mistral-7B,54,P,2,0.0024479804161566705
Mistral-7B,55,Einstein,2,0.0024479804161566705
Mistral-7B,56,Blood,2,0.0024479804161566705
Mistral-7B,57,Dog,2,0.0024479804161566705
Mistral-7B,58,Ve,1,0.0012239902080783353
Mistral-7B,59,Mat,1,0.0012239902080783353
Mistral-7B,60,California,1,0.0012239902080783353
Mistral-7B,61,Ch,1,0.0012239902080783353
Mistral-7B,62,Ap,1,0.0012239902080783353
Mistral-7B,63,Nixon,1,0.0012239902080783353
Mistral-7B,64,George,1,0.0012239902080783353
Mistral-7B,65,That,1,0.0012239902080783353
Mistral-7B,66,Michael,1,0.0012239902080783353
Mistral-7B,67,Area,1,0.0012239902080783353
Mistral-7B,68,Walt,1,0.0012239902080783353
Mistral-7B,69,Ast,1,0.0012239902080783353
Mistral-7B,70,Psych,1,0.0012239902080783353
Mistral-7B,71,Ex,1,0.0012239902080783353
Mistral-7B,72,Natural,1,0.0012239902080783353
Mistral-7B,73,U,1,0.0012239902080783353
Mistral-7B,74,Baby,1,0.0012239902080783353
Mistral-7B,75,Given,1,0.0012239902080783353
Mistral-7B,76,An,1,0.0012239902080783353
Mistral-7B,77,According,1,0.0012239902080783353
Mistral-7B,78,Diam,1,0.0012239902080783353
Mistral-7B,79,Stars,1,0.0012239902080783353
Mistral-7B,80,Kar,1,0.0012239902080783353
Mistral-7B,81,French,1,0.0012239902080783353
Mistral-7B,82,British,1,0.0012239902080783353
Mistral-7B,83,Fire,1,0.0012239902080783353
Mistral-7B,84,Deep,1,0.0012239902080783353
Mistral-7B,85,E,1,0.0012239902080783353
Mistral-7B,86,Moz,1,0.0012239902080783353
Mistral-7B,87,Ag,1,0.0012239902080783353
Mistral-7B,88,Al,1,0.0012239902080783353
Mistral-7B,89,Sugar,1,0.0012239902080783353
Mistral-7B,90,Oxford,1,0.0012239902080783353
Mistral-7B,91,Base,1,0.0012239902080783353
Mistral-7B,92,Gand,1,0.0012239902080783353
Mistral-7B,93,Marian,1,0.0012239902080783353
Mistral-7B,94,Mason,1,0.0012239902080783353
Mistral-7B,95,Mark,1,0.0012239902080783353
Mistral-7B,96,Science,1,0.0012239902080783353
Mistral-7B,97,Ba,1,0.0012239902080783353
Mistral-7B,98,Bel,1,0.0012239902080783353
Mistral-7B,99,Count,1,0.0012239902080783353
Mistral-7B,100,Germans,1,0.0012239902080783353
Mistral-7B,101,US,1,0.0012239902080783353
Mistral-7B,102,By,1,0.0012239902080783353
Mistral-7B,103,Brit,1,0.0012239902080783353
Mistral-7B,104,Scotland,1,0.0012239902080783353
Mistral-7B,105,Northern,1,0.0012239902080783353
Mistral-7B,106,Luxem,1,0.0012239902080783353
Mistral-7B,107,Russia,1,0.0012239902080783353
Mistral-7B,108,Ext,1,0.0012239902080783353
Mistral-7B,109,Someone,1,0.0012239902080783353
Mistral-7B,110,Students,1,0.0012239902080783353
Mistral-7B,111,Miami,1,0.0012239902080783353
Mistral-7B,112,San,1,0.0012239902080783353
Mistral-7B,113,Quebec,1,0.0012239902080783353
Mistral-7B,114,London,1,0.0012239902080783353
Mistral-7B,115,Martin,1,0.0012239902080783353
Mistral-7B,116,Hillary,1,0.0012239902080783353
Mistral-7B,117,Scott,1,0.0012239902080783353
Mistral-7B,118,Hun,1,0.0012239902080783353
Mistral-7B,119,Gas,1,0.0012239902080783353
Mistral-7B,120,Lind,1,0.0012239902080783353
Mistral-7B,121,M,1,0.0012239902080783353
Mistral-7B,122,Go,1,0.0012239902080783353
Mistral-7B,123,Rum,1,0.0012239902080783353
Mistral-7B,124,Ts,1,0.0012239902080783353
Mistral-7B,125,Ro,1,0.0012239902080783353
Mistral-7B,126,Jur,1,0.0012239902080783353
Mistral-7B,127,Brun,1,0.0012239902080783353
Mistral-7B,128,Ban,1,0.0012239902080783353
Mistral-7B,129,Luis,1,0.0012239902080783353
Mistral-7B,130,Ruth,1,0.0012239902080783353
Mistral-7B,131,Boston,1,0.0012239902080783353
Mistral-7B,132,Denmark,1,0.0012239902080783353
Mistral-7B,133,Israel,1,0.0012239902080783353
Mistral-7B,134,New,1,0.0012239902080783353
Mistral-7B,135,Paris,1,0.0012239902080783353
Mistral-7B,136,Man,1,0.0012239902080783353
Mistral-7B,137,India,1,0.0012239902080783353
Mistral-7B,138,Est,1,0.0012239902080783353
Mistral-7B,139,Christians,1,0.0012239902080783353
Mistral-7B,140,Brian,1,0.0012239902080783353
Mistral-7B,141,Scient,1,0.0012239902080783353
Mistral-7B,142,Bitcoin,1,0.0012239902080783353
Mistral-7B,143,Property,1,0.0012239902080783353
Mistral-7B,144,We,1,0.0012239902080783353
Mistral-7B,145,Elect,1,0.0012239902080783353
Mistral-7B,146,Africa,1,0.0012239902080783353
Mistral-7B,147,Hampshire,1,0.0012239902080783353
Mistral-7B,148,America,1,0.0012239902080783353
Mistral-7B,149,Switzerland,1,0.0012239902080783353
Mistral-7B,150,Has,1,0.0012239902080783353
Mistral-7B,151,Lear,1,0.0012239902080783353
Mistral-7B,152,Rome,1,0.0012239902080783353
Mistral-7B,153,Philadelphia,1,0.0012239902080783353
Mistral-7B,154,Mexican,1,0.0012239902080783353
Mistral-7B,155,Domin,1,0.0012239902080783353
Mistral-7B,156,Per,1,0.0012239902080783353
Mistral-7B,157,Love,1,0.0012239902080783353
Mistral-7B,158,Arab,1,0.0012239902080783353
Mistral-7B,159,Union,1,0.0012239902080783353
Mistral-7B,160,Ul,1,0.0012239902080783353
Mistral-7B,161,Line,1,0.0012239902080783353
Mistral-7B,162,Sym,1,0.0012239902080783353
Mistral-7B,163,Queen,1,0.0012239902080783353
Mistral-7B,164,Rock,1,0.0012239902080783353
Mistral-7B,165,Vision,1,0.0012239902080783353
Mistral-7B,166,Under,1,0.0012239902080783353
Mistral-7B,167,Your,1,0.0012239902080783353
Mistral-7B,168,Pow,1,0.0012239902080783353
Mistral-7B,169,Por,1,0.0012239902080783353
Mistral-7B,170,Type,1,0.0012239902080783353
Mistral-7B,171,O,1,0.0012239902080783353
Mistral-7B,172,Sarah,1,0.0012239902080783353
Mistral-7B,173,Im,1,0.0012239902080783353
Mistral-7B,174,World,1,0.0012239902080783353
Mistral-7B,175,Robert,1,0.0012239902080783353
Mistral-7B,176,Many,1,0.0012239902080783353
Mistral-7B,177,Greek,1,0.0012239902080783353
Mistral-7B,178,Le,1,0.0012239902080783353
Mistral-7B,179,Wild,1,0.0012239902080783353
Mistral-7B,180,Iron,1,0.0012239902080783353
Mistral-7B,181,Ant,1,0.0012239902080783353
Mistral-7B,182,Claud,1,0.0012239902080783353
Mistral-7B,183,Nin,1,0.0012239902080783353
Mistral-7B,184,Kn,1,0.0012239902080783353
Mistral-7B,185,Napoleon,1,0.0012239902080783353
Mistral-7B,186,NASA,1,0.0012239902080783353
Mistral-7B,187,AD,1,0.0012239902080783353
Mistral-7B,188,Sir,1,0.0012239902080783353
Mistral-7B,189,Light,1,0.0012239902080783353
Mistral-7B,190,Crit,1,0.0012239902080783353
Mistral-7B,191,Br,1,0.0012239902080783353
Mistral-7B,192,Arch,1,0.0012239902080783353
Mistral-7B,193,Air,1,0.0012239902080783353
Mistral-7B,194,Chart,1,0.0012239902080783353
Mistral-7B,195,Dr,1,0.0012239902080783353
Mistral-7B,196,Cann,1,0.0012239902080783353
Mistral-7B,197,Cin,1,0.0012239902080783353
Mistral-7B,198,Sn,1,0.0012239902080783353
Mistral-7B,199,Dream,1,0.0012239902080783353
Mistral-7B,200,Bill,1,0.0012239902080783353
Mistral-7B,201,White,1,0.0012239902080783353
Mistral-7B,202,Harvard,1,0.0012239902080783353
Mistral-7B,203,Bl,1,0.0012239902080783353
Mistral-7B,204,Black,1,0.0012239902080783353
Mistral-7B,205,Do,1,0.0012239902080783353
Mistral-7B,206,Rain,1,0.0012239902080783353
Mistral-7B,207,J,1,0.0012239902080783353
Mistral-7B,208,Chinese,1,0.0012239902080783353
Mistral-7B,209,Ger,1,0.0012239902080783353
Mistral-7B,210,King,1,0.0012239902080783353
Qwen2.5-14B,1,No,99,0.1211750305997552
Qwen2.5-14B,2,The,92,0.11260709914320685
Qwen2.5-14B,3,I,68,0.0832313341493268
Qwen2.5-14B,4,There,60,0.07343941248470012
Qwen2.5-14B,5,Nothing,54,0.06609547123623011
Qwen2.5-14B,6,Yes,42,0.051407588739290085
Qwen2.5-14B,7,You,31,0.037943696450428395
Qwen2.5-14B,8,It,28,0.03427172582619339
Qwen2.5-14B,9,If,24,0.02937576499388005
Qwen2.5-14B,10,People,23,0.028151774785801713
Qwen2.5-14B,11,Very,12,0.014687882496940025
Qwen2.5-14B,12,In,7,0.008567931456548347
Qwen2.5-14B,13,A,6,0.0073439412484700125
Qwen2.5-14B,14,Humans,5,0.006119951040391677
Qwen2.5-14B,15,All,5,0.006119951040391677
Qwen2.5-14B,16,Food,5,0.006119951040391677
Qwen2.5-14B,17,Americans,4,0.004895960832313341
Qwen2.5-14B,18,Most,4,0.004895960832313341
Qwen2.5-14B,19,B,3,0.0036719706242350062
Qwen2.5-14B,20,V,3,0.0036719706242350062
Qwen2.5-14B,21,Gold,3,0.0036719706242350062
Qwen2.5-14B,22,Richard,3,0.0036719706242350062
Qwen2.5-14B,23,"""",3,0.0036719706242350062
Qwen2.5-14B,24,Magic,2,0.0024479804161566705
Qwen2.5-14B,25,T,2,0.0024479804161566705
Qwen2.5-14B,26,C,2,0.0024479804161566705
Qwen2.5-14B,27,Barack,2,0.0024479804161566705
Qwen2.5-14B,28,Red,2,0.0024479804161566705
Qwen2.5-14B,29,N,2,0.0024479804161566705
Qwen2.5-14B,30,Mar,2,0.0024479804161566705
Qwen2.5-14B,31,Mexicans,2,0.0024479804161566705
Qwen2.5-14B,32,Turkey,2,0.0024479804161566705
Qwen2.5-14B,33,France,2,0.0024479804161566705
Qwen2.5-14B,34,Ireland,2,0.0024479804161566705
Qwen2.5-14B,35,Canada,2,0.0024479804161566705
Qwen2.5-14B,36,Less,2,0.0024479804161566705
Qwen2.5-14B,37,More,2,0.0024479804161566705
Qwen2.5-14B,38,Rec,2,0.0024479804161566705
Qwen2.5-14B,39,Two,2,0.0024479804161566705
Qwen2.5-14B,40,R,2,0.0024479804161566705
Qwen2.5-14B,41,College,2,0.0024479804161566705
Qwen2.5-14B,42,Japan,2,0.0024479804161566705
Qwen2.5-14B,43,China,2,0.0024479804161566705
Qwen2.5-14B,44,Pro,2,0.0024479804161566705
Qwen2.5-14B,45,Paul,2,0.0024479804161566705
Qwen2.5-14B,46,Cardiff,2,0.0024479804161566705
Qwen2.5-14B,47,Artists,2,0.0024479804161566705
Qwen2.5-14B,48,Einstein,2,0.0024479804161566705
Qwen2.5-14B,49,Blood,2,0.0024479804161566705
Qwen2.5-14B,50,Sch,2,0.0024479804161566705
Qwen2.5-14B,51,Dogs,2,0.0024479804161566705
Qwen2.5-14B,52,Ve,1,0.0012239902080783353
Qwen2.5-14B,53,Mat,1,0.0012239902080783353
Qwen2.5-14B,54,California,1,0.0012239902080783353
Qwen2.5-14B,55,Ch,1,0.0012239902080783353
Qwen2.5-14B,56,App,1,0.0012239902080783353
Qwen2.5-14B,57,Nixon,1,0.0012239902080783353
Qwen2.5-14B,58,Rousse,1,0.0012239902080783353
Qwen2.5-14B,59,George,1,0.0012239902080783353
Qwen2.5-14B,60,That,1,0.0012239902080783353
Qwen2.5-14B,61,Michael,1,0.0012239902080783353
Qwen2.5-14B,62,Area,1,0.0012239902080783353
Qwen2.5-14B,63,Walt,1,0.0012239902080783353
Qwen2.5-14B,64,Astro,1,0.0012239902080783353
Qwen2.5-14B,65,Psych,1,0.0012239902080783353
Qwen2.5-14B,66,Ex,1,0.0012239902080783353
Qwen2.5-14B,67,Hogwarts,1,0.0012239902080783353
Qwen2.5-14B,68,Wizards,1,0.0012239902080783353
Qwen2.5-14B,69,Foods,1,0.0012239902080783353
Qwen2.5-14B,70,Gr,1,0.0012239902080783353
Qwen2.5-14B,71,Natural,1,0.0012239902080783353
Qwen2.5-14B,72,U,1,0.0012239902080783353
Qwen2.5-14B,73,Marcos,1,0.0012239902080783353
